profile_image,experience,price,categories,supermalter,missions,profil,link,creation_date,Region_Name
https://dam.malt.com/wwckntpk7y14dzks20y4?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,400 €,['Développeur Web Back-end'],0,,isabellelanteri,https://www.malt.fr/profile/isabellelanteri,2013-12-08,île-de-france
https://dam.malt.com/tug2718p6o5ntrxksksl?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,480 €,"['Chef de projet digital', 'Product Manager']",0,48.0,jeremybenmoussa,https://www.malt.fr/profile/jeremybenmoussa,2013-10-08,île-de-france
https://dam.malt.com/mevokmc4qyv9fb7zbbfk?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,400 €,"['Chef de projet digital', 'Product Manager', 'UX Designer']",0,,agneslabbe,https://www.malt.fr/profile/agneslabbe,2014-02-27,pays de la loire
https://dam.malt.com/dwywyr7vylvk5vewsl6w?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,778 €,"['Chef de projet digital', 'Product Manager', 'Scrum Master', 'Développeur Web Back-end', 'Développeur Web Front-end']",0,,loicgueguen,https://www.malt.fr/profile/loicgueguen,2014-01-08,hauts-de-france
https://dam.malt.com/qsamjxxgw7fhusxkev2x?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,550 €,"['Consultant Stratégie', 'Consultant analytics', 'Consultant Marketing', 'Consultant marketing relationnel / CRM', 'Conversion Rate Optimizer', 'Growth Hacker', 'Traffic Manager']",0,,fabricevaltancoli,https://www.malt.fr/profile/fabricevaltancoli,2013-12-15,provence-alpes-côte d'azur
No profile image,-,400 €,[],0,,marthefaucouit,https://www.malt.fr/profile/marthefaucouit,2014-02-06,île-de-france
https://dam.malt.com/f5f10950-b16d-4464-9ca4-3f46157d029c?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,1 200 €,"['Data Engineer', 'Data Scientist', 'Cloud Engineer & Architect', 'Développeur Web Back-end', 'DevOps']",0,7.0,oliviergirardot,https://www.malt.fr/profile/oliviergirardot,2013-01-29,île-de-france
https://dam.malt.com/afpzbfqxy6e1fmueigza?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,3-7 ans,450 €,"['Data Scientist', 'Développeur Mobile', 'Développeur Web Back-end']",0,10.0,ivanbriginskiy,https://www.malt.fr/profile/ivanbriginskiy,2013-11-15,île-de-france
https://dam.malt.com/f2e337f6-a012-40f7-acf6-b9533e6737f7?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,450 €,['Développeur Web Front-end'],0,,anthonyguimard,https://www.malt.fr/profile/anthonyguimard,2013-10-24,pays de la loire
https://dam.malt.com/x7w4phpmdrpl9urzvtmj?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,950 €,"['Développeur Web Back-end', 'Développeur Web Front-end']",0,4.0,florentpellet,https://www.malt.fr/profile/florentpellet,2013-02-02,auvergne-rhône-alpes
https://dam.malt.com/x0itn352xkyzmxnvbzmb?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,200 €,['Consultant Communication'],0,,juliecahn,https://www.malt.fr/profile/juliecahn,2013-11-15,occitanie
